strain_name	peptide_count	taxonomy
Methanoplanus petrolearius DSM 11571	2824	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;Methanoplanus petrolearius DSM 11571
Methanolinea tarda NOBI-1	2067	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea;Methanolinea tarda NOBI-1
Methanoregula boonei 6A8	2452	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula boonei 6A8
Methanoregula formicica SMSP	2816	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula formicica SMSP
Methanosphaerula palustris E1-9c	2655	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;Methanosphaerula palustris E1-9c
Methanospirillum hungatei JF-1	3131	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;Methanospirillum hungatei JF-1
Methanosaeta concilii GP6	2850	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta concilii GP6
Methanosaeta harundinacea 6Ac	2371	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta harundinacea 6Ac
Methanosaeta thermophila PT	1696	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta thermophila PT
Methanococcoides burtonii DSM 6242	2273	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;Methanococcoides burtonii DSM 6242
Methanohalobium evestigatum Z-7303	2254	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium;Methanohalobium evestigatum Z-7303
Methanohalophilus mahii	5	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus mahii
Methanohalophilus mahii DSM 5219	2032	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus mahii DSM 5219
Methanolobus psychrophilus R15	3167	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;Methanolobus psychrophilus R15
Methanomethylovorans hollandica DSM 15978	2665	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;Methanomethylovorans hollandica DSM 15978
Methanosalsum zhilinae DSM 4017	2025	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;Methanosalsum zhilinae DSM 4017
Methanosarcina acetivorans C2A	4540	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina acetivorans C2A
Methanosarcina barkeri str. Fusaro	3624	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina barkeri str. Fusaro
Methanosarcina mazei Go1	3368	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1
Methanosarcina mazei Tuc01	3252	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Tuc01
Methanopyrus kandleri AV19	1687	Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;Methanopyrus kandleri AV19
Haloredivivus G17	2224	Archaea;Euryarchaeota;Nanohaloarchaea;Nanohaloarchaea_X;Nanohaloarchaea_XX;Haloredivivus;Haloredivivus G17
Palaeococcus ferrophilus DSM 13482	2351	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus;Palaeococcus ferrophilus DSM 13482
Pyrococcus 12/1	10	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus 12/1
Pyrococcus JT1	2	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus JT1
Pyrococcus NA2	1980	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus NA2
Pyrococcus ST04	1748	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus ST04
Pyrococcus abyssi GE5	1781	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus abyssi GE5
Pyrococcus furiosus COM1	2064	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus furiosus COM1
Pyrococcus furiosus DSM 3638	2125	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus furiosus DSM 3638
Pyrococcus horikoshii OT3	1950	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus horikoshii OT3
Pyrococcus yayanosii CH1	1865	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus yayanosii CH1
Thermococcus 26/2	23	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus 26/2
Thermococcus 4557	2133	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus 4557
Thermococcus AM4	2222	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus AM4
Thermococcus AMT11	28	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus AMT11
Thermococcus CL1	2017	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus CL1
Thermococcus barophilus MP	2265	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus barophilus MP
Thermococcus gammatolerans EJ3	2156	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus gammatolerans EJ3
Thermococcus kodakarensis KOD1	2306	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus kodakarensis KOD1
Thermococcus nautilus	12	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus nautilus
Thermococcus onnurineus NA1	1975	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus onnurineus NA1
Thermococcus sibiricus MM 739	2035	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sibiricus MM 739
Aciduliprofundum MAR08-339	1525	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2(DHVEG-2);Aciduliprofundum;Aciduliprofundum MAR08-339
Aciduliprofundum boonei T469	1544	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2(DHVEG-2);Aciduliprofundum;Aciduliprofundum boonei T469
Ferroplasma acidarmanus Fer1	1695	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;Ferroplasma acidarmanus Fer1
Picrophilus torridus DSM 9790	1537	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Picrophilus;Picrophilus torridus DSM 9790
Thermoplasma acidophilum	18	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma acidophilum
Thermoplasma acidophilum DSM 1728	1484	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma acidophilum DSM 1728
Thermoplasma volcanium GSS1	1501	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma volcanium GSS1
Methanomassiliicoccus intestinalis Issoire-Mx1	1820	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmatales_X;Methanomassiliicoccus;Methanomassiliicoccus intestinalis Issoire-Mx1
Thermoplasmatales archaeon	1528	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmatales_X;Thermoplasmatales_XX;Thermoplasmatales archaeon
uncultured marine group II euryarchaeote	0	Archaea;Euryarchaeota;unclassified Euryarchaeota;Marine Group II;environmental Marine Group II;environmental Marine Group IIX;uncultured marine group II euryarchaeote
Methanomethylophilus alvus Mx1201	1651	Archaea;Euryarchaeota;unclassified Euryarchaeota;Methanomethylophilus group;Methanomethylophilus;Methanomethylophilus alvus;Methanomethylophilus alvus Mx1201
Aenigmarchaeota archaeon JGI 0000106-F11	421	Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified_Euryarchaeota_X;unclassified_Euryarchaeota_XX;DHVE3 group;Aenigmarchaeota archaeon JGI 0000106-F11
Euryarchaeota archaeon SCGC AAA252-I15	1504	Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified_Euryarchaeota_X;unclassified_Euryarchaeota_XX;candidate division pMC2A384;Euryarchaeota archaeon SCGC AAA252-I15
Korarchaeum cryptofilum OPF8	1603	Archaea;Korarchaeota;Korarchaeum;Korarchaeum_X;Korarchaeum_XX;Korarchaeum_XXX;Korarchaeum cryptofilum OPF8
Nanoarchaeum equitans Kin4-M	540	Archaea;Nanoarchaeota;Nanoarchaeota_I;Nanoarchaeota_II;Nanoarchaeota_III;Nanoarchaeum;Nanoarchaeum equitans Kin4-M
Cenarchaeum symbiosum A	2017	Archaea;Thaumarchaeota;Marine Group I;Cenarchaeales;Cenarchaeaceae;Cenarchaeum;Cenarchaeum symbiosum A
Cenarchaeum symbiosum B	0	Archaea;Thaumarchaeota;Marine Group I;Cenarchaeales;Cenarchaeaceae;Cenarchaeum;Cenarchaeum symbiosum B
Thaumarchaeota archaeon SCGC AAA007-O23	1354	Archaea;Thaumarchaeota;Marine Group I;Cenarchaeales;Cenarchaeaceae;Cenarchaeum;Thaumarchaeota archaeon SCGC AAA007-O23
Nitrososphaera gargensis Ga9.2	3565	Archaea;Thaumarchaeota;Thaumarchaeota_X;Thaumarchaeota_XX;Soil Crenarchaeotic Group(SCG);Nitrososphaera;Nitrososphaera gargensis Ga9.2
Nitrosoarchaeum koreensis MY1	1945	Archaea;Thaumarchaeota;Thaumarchaeota_X;Thaumarchaeota_XX;Thaumarchaeota_XXX;Nitrosoarchaeum;Nitrosoarchaeum koreensis MY1
Nitrosoarchaeum limnia SFB1	2038	Archaea;Thaumarchaeota;Thaumarchaeota_X;Thaumarchaeota_XX;Thaumarchaeota_XXX;Nitrosoarchaeum;Nitrosoarchaeum limnia SFB1
Nitrosopumilus A	1974	Archaea;Thaumarchaeota;Thaumarchaeota_X;Thaumarchaeota_XX;Thaumarchaeota_XXX;Nitrosopumilus;Nitrosopumilus A
Nitrosopumilus koreensis AR1	1890	Archaea;Thaumarchaeota;Thaumarchaeota_X;Thaumarchaeota_XX;Thaumarchaeota_XXX;Nitrosopumilus;Nitrosopumilus koreensis AR1
Nitrosopumilus maritimus SCM1	1796	Archaea;Thaumarchaeota;Thaumarchaeota_X;Thaumarchaeota_XX;Thaumarchaeota_XXX;Nitrosopumilus;Nitrosopumilus maritimus SCM1
Thaumarchaeota archaeon SCGC AB-179-E04	327	Archaea;Thaumarchaeota;Thaumarchaeota_X;Thaumarchaeota_XX;Thaumarchaeota_XXX;Thaumarchaeota_XXXX;Thaumarchaeota archaeon SCGC AB-179-E04
halophilic archaeon DL31	3476	Archaea;unclassified Archaea;Archaea_XX;Archaea_XXX;Archaea_XXXX;Archaea_XXXXX;halophilic archaeon DL31
candidate division DUSEL1 archaeon SCGC AAA011-D5	671	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL1;unclassified candidate division DUSEL1;candidate division DUSEL1 archaeon SCGC AAA011-D5
Aenigmarchaeota archaeon SCGC AAA011-F07	373	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL2;unclassified candidate division DUSEL2;Aenigmarchaeota archaeon SCGC AAA011-F07
Aenigmarchaeota archaeon SCGC AAA011-O16	525	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL2;unclassified candidate division DUSEL2;Aenigmarchaeota archaeon SCGC AAA011-O16
Diapherotrites archaeon SCGC AAA011-E11	1202	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL3;DUSEL3;Diapherotrites archaeon SCGC AAA011-E11
candidate division DUSEL3 archaeon SCGC AAA011-K09	372	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL3;DUSEL3;candidate division DUSEL3 archaeon SCGC AAA011-K09
candidate division DUSEL3 archaeon SCGC AAA011-N19	332	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL3;DUSEL3;candidate division DUSEL3 archaeon SCGC AAA011-N19
Nanoarchaeota archaeon SCGC AAA011-G17	1336	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL4;unclassified candidate division DUSEL4;Nanoarchaeota archaeon SCGC AAA011-G17
Nanoarchaeota archaeon SCGC AAA011-K22	1221	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL4;unclassified candidate division DUSEL4;Nanoarchaeota archaeon SCGC AAA011-K22
Nanoarchaeota archaeon SCGC AAA011-L22	1996	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL4;unclassified candidate division DUSEL4;Nanoarchaeota archaeon SCGC AAA011-L22
candidate division DUSEL4 archaeon SCGC AAA011-J02	391	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL4;unclassified candidate division DUSEL4;candidate division DUSEL4 archaeon SCGC AAA011-J02
candidate division DUSEL4 archaeon SCGC AAA011-L15	252	Archaea;unclassified Archaea;unclassified_Archaea_X;unclassified_Archaea_XX;candidate division DUSEL4;unclassified candidate division DUSEL4;candidate division DUSEL4 archaeon SCGC AAA011-L15
Solibacter usitatus Ellin6076	7826	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteria_XX;Acidobacteria_XXX;Solibacter;Solibacter usitatus Ellin6076
Acidobacterium MP5ACTX9	4542	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium MP5ACTX9
Acidobacterium capsulatum ATCC 51196	3377	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum ATCC 51196
Granulicella mallensis MP5ACTX8	4815	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella mallensis MP5ACTX8
Granulicella mallensis MP5ACTX8 A	4898	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella mallensis MP5ACTX8 A
Granulicella tundricola MP5ACTX9	4542	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella tundricola MP5ACTX9
Koribacter versatilis Ellin345	4777	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Koribacter;Koribacter versatilis Ellin345
Terriglobus roseus DSM 18391	4245	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus roseus DSM 18391
Terriglobus saanensis SP1PR4	4180	Bacteria;Acidobacteria;Acidobacteria_X;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus saanensis SP1PR4
Chloracidobacterium thermophilum B	3054	Bacteria;Acidobacteria;Acidobacteria_X;Chloracidobacterium;Chloracidobacterium_X;Chloracidobacterium_XX;Chloracidobacterium thermophilum B
Holophaga foetida DSM 6591	3615	Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga foetida DSM 6591
Acidimicrobium ferrooxidans DSM 10331	2038	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans DSM 10331
actinobacterium SCGC AAA015-M09	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium;actinobacterium SCGC AAA015-M09
Ilumatobacter coccineus YM16-304	4291	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;Ilumatobacter coccineus YM16-304
Actinobaculum massiliae ACS-171-V-Col2	287	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinobaculum;Actinobaculum massiliae ACS-171-V-Col2
Actinomyces coleocanis DSM 15436	1546	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces coleocanis DSM 15436
Actinomyces graevenitzii C83	1853	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii C83
Actinomyces odontolyticus ATCC 17982	2159	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus ATCC 17982
Actinomyces odontolyticus F0309	2372	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus F0309
Actinomyces oral taxon 170 str. F0386	3042	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 170 str. F0386
Actinomyces oral taxon 171 str. F0337	3149	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 171 str. F0337
Actinomyces oral taxon 175 str. F0384	2639	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 175 str. F0384
Actinomyces oral taxon 178 str. F0338	2524	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 178 str. F0338
Actinomyces oral taxon 180 str. F0310	2070	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 180 str. F0310
Actinomyces oral taxon 448 str. F0400	2518	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 448 str. F0400
Actinomyces oral taxon 848 str. F0332	2591	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 848 str. F0332
Actinomyces oral taxon 849 str. F0330	3017	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oral taxon 849 str. F0330
Actinomyces oris K20	2939	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris K20
Actinomyces urogenitalis DSM 15434	2403	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces urogenitalis DSM 15434
Actinomyces viscosus C505	2641	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces viscosus C505
Arcanobacterium haemolyticum DSM 20595	1821	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium haemolyticum DSM 20595
Mobiluncus curtisii ATCC 43063	1909	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii ATCC 43063
Mobiluncus curtisii ATCC 51333	1855	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii ATCC 51333
Mobiluncus curtisii subsp. curtisii ATCC 35241	1894	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii subsp. curtisii ATCC 35241
Mobiluncus curtisii subsp. holmesii ATCC 35242	1829	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii subsp. holmesii ATCC 35242
Mobiluncus mulieris 28-1	2321	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus mulieris 28-1
Mobiluncus mulieris ATCC 35239	2380	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus mulieris ATCC 35239
Mobiluncus mulieris ATCC 35243	2300	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus mulieris ATCC 35243
Mobiluncus mulieris FB024-16	2113	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus mulieris FB024-16
Trueperella pyogenes	10	Bacteria;Actinobacteria;Actinobacteria_X;Actinomycetales;Actinomycetaceae;Trueperella;Trueperella pyogenes
Bifidobacterium 12_1_47BFAA	2043	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium 12_1_47BFAA
Bifidobacterium A24 A24	2	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium A24 A24
Bifidobacterium adolescentis ATCC 15703	1632	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis ATCC 15703
Bifidobacterium adolescentis L2-32	2428	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis L2-32
Bifidobacterium angulatum DSM 20098 = JCM 7096	1846	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium angulatum DSM 20098 = JCM 7096
Bifidobacterium animalis subsp. animalis ATCC 25527	1538	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. animalis ATCC 25527
Bifidobacterium animalis subsp. lactis AD011	1527	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis AD011
Bifidobacterium animalis subsp. lactis B420	1561	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis B420
Bifidobacterium animalis subsp. lactis BB-12	1642	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis BB-12
Bifidobacterium animalis subsp. lactis BLC1	1518	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis BLC1
Bifidobacterium animalis subsp. lactis Bi-07	1597	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis Bi-07
Bifidobacterium animalis subsp. lactis Bl-04	1567	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis Bl-04
Bifidobacterium animalis subsp. lactis Bl12	1518	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis Bl12
Bifidobacterium animalis subsp. lactis CNCM I-2494	1660	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis CNCM I-2494
Bifidobacterium animalis subsp. lactis DSM 10140	1566	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis DSM 10140
Bifidobacterium animalis subsp. lactis HN019	1578	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis HN019
Bifidobacterium animalis subsp. lactis V9	1572	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis V9
Bifidobacterium asteroides	1	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium asteroides
Bifidobacterium asteroides PRL2011	1658	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium asteroides PRL2011
Bifidobacterium bifidum	3	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum
Bifidobacterium bifidum BGN4	1834	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum BGN4
Bifidobacterium bifidum NCIMB 41171	1833	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum NCIMB 41171
Bifidobacterium bifidum PRL2010	1706	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum PRL2010
Bifidobacterium bifidum S17	1783	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum S17
Bifidobacterium breve	7	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve
Bifidobacterium breve ACS-071-V-Sch8b	1826	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve ACS-071-V-Sch8b
Bifidobacterium breve DSM 20213 = JCM 1192	2251	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve DSM 20213 = JCM 1192
Bifidobacterium breve UCC2003	1854	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve UCC2003
Bifidobacterium catenulatum	3	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium catenulatum
Bifidobacterium catenulatum DSM 16992 = JCM 1194	1950	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium catenulatum DSM 16992 = JCM 1194
Bifidobacterium dentium ATCC 27678	2430	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium dentium ATCC 27678
