Aazo_0002-NC_014248	CVujK2QLmQnNmXUG9U1Z1mDP9is	'Nostoc azollae' 0708	hypothetical protein
Aazo_0003-NC_014248	FRYMN9+VEwIYo0oQ2zP4wg0vBew	'Nostoc azollae' 0708	hypothetical protein
Aazo_0004-NC_014248	zYiwrR+n2iXoXj+qe7nzvBqdxn0	'Nostoc azollae' 0708	hypothetical protein
Aazo_0005-NC_014248	7M1+86YVQb/siBiS2cyV0iW3SIk	'Nostoc azollae' 0708	hypothetical protein
Aazo_0007-NC_014248	uSkeyTwMw8tI0GERY+sP0BteNHQ	'Nostoc azollae' 0708	hypothetical protein
Aazo_0009-NC_014248	p5WJ5FY7C/bD9DobiXRIsmFIJOA	'Nostoc azollae' 0708	hypothetical protein
Aazo_0012-NC_014248	bwpWeTibFN4gu/sEg8WQ8dpmw+E	'Nostoc azollae' 0708	hypothetical protein
Aazo_0013-NC_014248	BY6QnjspwF1yLZftPQVSvVDTKEE	'Nostoc azollae' 0708	hypothetical protein
Aazo_0014-NC_014248	5ePmiITfOQIuDc7vHskQzT1KF44	'Nostoc azollae' 0708	KaiB domain-containing protein; K08481 circadian clock protein KaiB
Aazo_0015-NC_014248	/akqU8ocnmxVZ14FuEpRkgLvykM	'Nostoc azollae' 0708	twitching motility protein; K02669 twitching motility protein PilT
Aazo_0018-NC_014248	LlNK1+O0WAkxXwyH6xg5XV16zew	'Nostoc azollae' 0708	hypothetical protein
Aazo_0019-NC_014248	xUBjlDhp6hEEcJ9WHmPscOxpQIs	'Nostoc azollae' 0708	anion-transporting ATPase; K01551 arsenite-transporting ATPase [EC:3.6.3.16]
Aazo_0020-NC_014248	UDLYGz5XFlk9jeq0MzU/eZmuSb4	'Nostoc azollae' 0708	bacteriochlorophyll/chlorophyll synthetase; K04040 chlorophyll synthase [EC:2.5.1.62]
Aazo_0021-NC_014248	spqZD0F42Lkxp3hyH9IIRSWRmxg	'Nostoc azollae' 0708	hypothetical protein
Aazo_0022-NC_014248	vlM0D5UabKKllOjfubXON4JEe/s	'Nostoc azollae' 0708	hypothetical protein
Aazo_0025-NC_014248	Xc5evdlIRFPysAGeZrgInQWhW9w	'Nostoc azollae' 0708	hypothetical protein
Aazo_0026-NC_014248	iPcl7nR/cVHrfIEKSNj1uGJQlgY	'Nostoc azollae' 0708	hypothetical protein
Aazo_0027-NC_014248	EAsEbCgzSOh+1femxjfQl8U01XU	'Nostoc azollae' 0708	inositol monophosphatase; K01092 myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
Aazo_0028-NC_014248	KXidcwHUE1Z9Qb4GwaxYVL7AoiQ	'Nostoc azollae' 0708	PUCC protein; K08226 MFS transporter, BCD family, chlorophyll transporter
Aazo_0030-NC_014248	Q+163fR+LkP+WhIVje2fzP7nN4s	'Nostoc azollae' 0708	hypothetical protein
Aazo_0031-NC_014248	UUghJDjhd8/fnMViZu+JD59p270	'Nostoc azollae' 0708	hypothetical protein
Aazo_0033-NC_014248	OHvi04ctJlyHC/HtwcAbGCC9ews	'Nostoc azollae' 0708	heterocyst differentiation protein HetF
Aazo_0034-NC_014248	Quc55BkwWILlxJ0aGVkUXehgn6A	'Nostoc azollae' 0708	nitrogen regulatory protein P-II; K04751 nitrogen regulatory protein P-II 1
Aazo_0035-NC_014248	Fr7tCDJ17yTTeTeFz+NWQNMak6s	'Nostoc azollae' 0708	hypothetical protein
Aazo_0036-NC_014248	vkkDL3JXRhh8XAELCnkWuEmMDEU	'Nostoc azollae' 0708	hypothetical protein
Aazo_0037-NC_014248	aQm3Zlvl9yVvISSjeY61Jb2tyzM	'Nostoc azollae' 0708	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase; K01516 nucleoside-triphosphatase [EC:3.6.1.15]
Aazo_0038-NC_014248	Bb2eCDYmak7/QE4+jFeZ27NjxYM	'Nostoc azollae' 0708	phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I; K01840 phosphomannomutase [EC:5.4.2.8]
Aazo_0039-NC_014248	yZVvlopUOd9Y/gpNz4S3dXAPIQw	'Nostoc azollae' 0708	phosphoribosylglycinamide formyltransferase; K11175 phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
Aazo_0041-NC_014248	3yfbWPsT7NZdF/KdZgvW008ccVY	'Nostoc azollae' 0708	ABC-2 type transporter
Aazo_0042-NC_014248	ca1Hay9Nm/psScYdlUWCzMWx3H4	'Nostoc azollae' 0708	hypothetical protein
Aazo_0043-NC_014248	lME0FWXlyWzNRZz8/0pxiZ2naD0	'Nostoc azollae' 0708	filament integrity protein
Aazo_0044-NC_014248	YoTa8qo+W3c8QEovNHM2fhLfb+k	'Nostoc azollae' 0708	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP; K00798 cob(I)alamin adenosyltransferase [EC:2.5.1.17]
Aazo_0047-NC_014248	pilSNs16r89QUz5ddRRaoOQZwlg	'Nostoc azollae' 0708	hypothetical protein
Aazo_0048-NC_014248	9E2guXQUb462blsj6NFWHatRdU4	'Nostoc azollae' 0708	cytochrome c-type biogenesis protein CcsB
Aazo_0049-NC_014248	W32gaYYXGd9Tow4YSEELO+tjGCU	'Nostoc azollae' 0708	hypothetical protein
Aazo_0050-NC_014248	je3qlFFIXWi9BML7PV0YoAAPc6A	'Nostoc azollae' 0708	hypothetical protein
Aazo_0051-NC_014248	dQSjvZlIB+hGFg0+BfTUtfXzlOs	'Nostoc azollae' 0708	acetyl-CoA carboxylase biotin carboxylase; K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
Aazo_0052-NC_014248	oR76WQO228p0e4Q+VTb5V6dyKGw	'Nostoc azollae' 0708	hypothetical protein; K02221 YggT family protein
Aazo_0053-NC_014248	wN31F9MXADNeLi/Wc4gmjupt8W8	'Nostoc azollae' 0708	hypothetical protein
